,id,name,desc
备注,id,名字,描述
普通副本18,1,深海实验室,可在“深海实验室”副本中获得
普通副本19,3,黄金立方,可在“黄金立方”副本中获得
普通副本20,4,黑龙战舰,可在“黑龙战舰”副本中获得
商店——军团商店,5,贩售商城,可在“公会商铺”中购买
商店——梦境商店,6,贩售商城,可在“梦境小铺”中购买
商店——活动商铺,7,贩售商城,可在“活动商铺”中购买
每日任务——委托,8,自律联盟,可通过完成“委托”任务获得
探索层宝箱,9,探索层,可通过开启“探索层宝箱”获得
每日任务——巡查,10,自律联盟,可通过完成“巡查”任务获得
每日任务——悬赏,11,自律联盟,可通过完成“悬赏”任务获得
罗兰钻速递,19,速递,可通过“罗兰钻速递”获得
友情速递,20,速递,可通过“友情速递”获得
军团——军团悬赏,21,帝国悬赏,可通过“帝国悬赏”获得
军团——军团捐献,22,公会捐献,可通过“公会募捐”获得
暗夜事件簿,23,竞技场,可通过“竞技场”获得
探索层——雷鸣大陆,25,雷鸣大陆,可在“雷鸣大陆”获得
探索层——古加尼尔,26,古加尼尔,可在“古加尼尔”获得
探索层——天空之城,27,失落群岛,可在“失落群岛”获得
温丽梦境,31,温丽的梦境,可通过“温丽的梦境”获得
多人副本——魔族之心,33,多人副本——魔族之心,多人副本——魔族之心
王牌通缉活动,35,王牌通缉,可在“王牌通缉”中获得
