,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,1354702,,莉莉，乔伊又买新书了。他每天书不离手，都是在看什么书呢？,,,,莉莉，乔伊又买新书了。他每天书不离手，都是在看什么书呢？
,1354703,,呵呵，我知道哦~你绝对想不到他在看什么书~,,,,呵呵，我知道哦~你绝对想不到他在看什么书~
,1354704,,（夜崎隐压低嗓音，轻声说出了书籍的类型。）,,,,（夜崎隐压低嗓音，轻声说出了书籍的类型。）
,1354705,,莉莉，你也不相信他说的话吧？,,,,莉莉，你也不相信他说的话吧？
,1354706,,不相信的话，你可以亲自去求证哦~,,,,不相信的话，你可以亲自去求证哦~
,1354708,,（默希娅进入书房时，乔伊正在给一本书套上书皮。凭借5.5的视<br>   力， 默希娅隐约看见书的封面写着《龙族女仆……》的字样。）,,,,（默希娅进入书房时，乔伊正在给一本书套上书皮。凭借5.5的视<br>   力， 默希娅隐约看见书的封面写着《龙族女仆……》的字样。）
,1354709,,龙族女仆……乔伊，可以告诉我你在看什么书吗？,,,,龙族女仆……乔伊，可以告诉我你在看什么书吗？
,1354710,,默希娅，你很关心这本书的类型吗？,,,,默希娅，你很关心这本书的类型吗？
,1354711,,嗯，我以为你会偏爱哲学类的书籍，可是夜崎隐说不是……,,,,嗯，我以为你会偏爱哲学类的书籍，可是夜崎隐说不是……
,1354712,,一本书，每个人赋予它的定义都不相同。比如这本书，在我看来它讲述的是龙族群体的感情观与行为方式。,,,,一本书，每个人赋予它的定义都不相同。比如这本书，在我看来它讲述的是龙族群体的感情观与行为方式。
,1354713,,书中提到了龙骑的信仰，让我久违地想起了以前的日子。对于想要了解龙族的人来说，这是一本很适合的入门读物。,,,,书中提到了龙骑的信仰，让我久违地想起了以前的日子。对于想要了解龙族的人来说，这是一本很适合的入门读物。
,1354714,,默希娅，你要知道，阅读时不要在意这本书是什么，而要明白它能带给你什么。,,,,默希娅，你要知道，阅读时不要在意这本书是什么，而要明白它能带给你什么。
,1354715,,明白它带给我什么……,,,,明白它带给我什么……
,1354716,,对，正如你想要理解世界，那就必须站在世界的上方。为此你要学会自我思考，学会向上攀登。,,,,对，正如你想要理解世界，那就必须站在世界的上方。为此你要学会自我思考，学会向上攀登。
,1354717,,不要被世俗的评价限制思想，那些都是平凡者们回避本质的拙劣<br>言论。聪明的人善于掌握有用的信息，并能将其转为自己所有。,,,,不要被世俗的评价限制思想，那些都是平凡者们回避本质的拙劣<br>言论。聪明的人善于掌握有用的信息，并能将其转为自己所有。
,1354718,,既然今天你提起了这个话题，那么我给你推荐几本适合的书。<br>多阅读，才能摆脱愚昧无知的痛苦之源。,,,,既然今天你提起了这个话题，那么我给你推荐几本适合的书。<br>多阅读，才能摆脱愚昧无知的痛苦之源。
,1354719,,嗯。莉莉，你也很有兴趣一起看吧？,,,,嗯。莉莉，你也很有兴趣一起看吧？
,1354720,,（默希娅捧着乔伊列的书单，脚步轻快地走出书房。）,,,,（默希娅捧着乔伊列的书单，脚步轻快地走出书房。）
,1354721,,莉莉，原来阅读是这么深奥的事情……果然那个变态的话不能相信。,,,,莉莉，原来阅读是这么深奥的事情……果然那个变态的话不能相信。
