,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,717001,刀锋领主希德,与你对决，倒还算尽兴。小子，我对这监狱里的龌龊事没兴趣，答应那个军官的提议，也不过是因为他许诺给我寻来一柄名刀。,,,,与你对决，倒还算尽兴。小子，我对这监狱里的龌龊事没兴趣，答应那个军官的提议，也不过是因为他许诺给我寻来一柄名刀。
,717002,刀锋领主希德,不过看他如今已自身难保，想必也是无法兑现承诺了。<br>唉，时间过得真快啊。转眼之间。这把刀也钝了……,,,,不过看他如今已自身难保，想必也是无法兑现承诺了。<br>唉，时间过得真快啊。转眼之间。这把刀也钝了……
,717003,,你很强，但选择了一条错误的路。,,,,你很强，但选择了一条错误的路。
,717101,剑豪领主拉希德,你的剑术套路和招式，与帝国第一剑士有点像，但实力嘛……<br>莫非莱克想毁约？没门！我只想和第一剑士对决。,,,,你的剑术套路和招式，与帝国第一剑士有点像，但实力嘛……<br>莫非莱克想毁约？没门！我只想和第一剑士对决。
,717102,,莱克答应你，让你和我哥哥对决？！,,,,莱克答应你，让你和我哥哥对决？！
,717103,剑豪领主拉希德,对，但是他也没说清具体的时间，光是让我帮忙办事。我最烦这种政客了，总是耍心机。,,,,对，但是他也没说清具体的时间，光是让我帮忙办事。我最烦这种政客了，总是耍心机。
,717104,,这个史莱克竟然说出如此荒谬的承诺，哥哥怎么可能会答应！看来他所说的消息很可能是骗我的。,,,,这个史莱克竟然说出如此荒谬的承诺，哥哥怎么可能会答应！看来他所说的消息很可能是骗我的。
,717105,,不过我们都已经到了这里，我倒要看看他到底想做什么。,,,,不过我们都已经到了这里，我倒要看看他到底想做什么。
,717106,,,,,与此同时,
,717107,,典狱长大人，他们已经通过了第10层。再让他们往下，恐怕……,,,,典狱长大人，他们已经通过了第10层。再让他们往下，恐怕……
,717108,,他们的实力远超我的预期，可再往下的楼层也不容易通过了。我会告诉薇莉斯大人这件事情，相信她自有定夺。你去忙其他事情吧。,,,,他们的实力远超我的预期，可再往下的楼层也不容易通过了。我会告诉薇莉斯大人这件事情，相信她自有定夺。你去忙其他事情吧。
,717109,,是，典狱长大人。,,,,是，典狱长大人。
,717201,,为什么你们的身上都有数字标记？之前几层的囚犯身上，我从来没有见到过。,,,,为什么你们的身上都有数字标记？之前几层的囚犯身上，我从来没有见到过。
,717202,噬盾领主霍普,这个？哈哈哈，这是死亡号码牌！被打上标记的囚犯，犹如被雄狮盯上的猎物，无法逃脱，只有被捕食的命运。,,,,这个？哈哈哈，这是死亡号码牌！被打上标记的囚犯，犹如被雄狮盯上的猎物，无法逃脱，只有被捕食的命运。
,717203,噬盾领主霍普,可是老子才不信命运，想活就只有靠自己！这个吃人的实验室，我一定会逃出去！,,,,可是老子才不信命运，想活就只有靠自己！这个吃人的实验室，我一定会逃出去！
,717301,,大姐头，既然这层的犯人都控制住了，那么我们继续向下吧。,,,,大姐头，既然这层的犯人都控制住了，那么我们继续向下吧。
,717302,,先别急，我发现了一张数据记录表，你们一起过来看看。,,,,先别急，我发现了一张数据记录表，你们一起过来看看。
,717303,,这个表格记录了这些囚犯的基础信息、身体力量分布、个人素质等，还有一些简略的评语，比如那个夜翼领主马文：,,,,这个表格记录了这些囚犯的基础信息、身体力量分布、个人素质等，还有一些简略的评语，比如那个夜翼领主马文：
,717304,,“可飞行，速度较快。力量与智慧不足，最好加入兽人基因或移植兽人四肢。”,,,,“可飞行，速度较快。力量与智慧不足，最好加入兽人基因或移植兽人四肢。”
,717305,,基因、移植……这个更像是针对个人的手术方案，难道下面真的是实验室？,,,,基因、移植……这个更像是针对个人的手术方案，难道下面真的是实验室？
,717306,,单凭一张纸，我们也不能断定。具体情况什么样，也只有继续向下才能知道了。,,,,单凭一张纸，我们也不能断定。具体情况什么样，也只有继续向下才能知道了。
,717401,魅影领主苏姬,妾身只是一个被陷害的普通人，你们饶了妾身吧！,,,,妾身只是一个被陷害的普通人，你们饶了妾身吧！
,717402,,被陷害？,,,,被陷害？
,717403,魅影领主苏姬,对！有一次妾身受欧斯家族邀请出席宴会。宴会中途，妾身去花园角落透气放松，不小心撞见右相身边的高官与人谈话。,,,,对！有一次妾身受欧斯家族邀请出席宴会。宴会中途，妾身去花园角落透气放松，不小心撞见右相身边的高官与人谈话。
,717404,魅影领主苏姬,之后没过多久，妾身便被按上莫名其妙的罪名，关进监狱。现在拼死闹上这一次，也只是想出去过平静的生活……,,,,之后没过多久，妾身便被按上莫名其妙的罪名，关进监狱。现在拼死闹上这一次，也只是想出去过平静的生活……
,717405,,呵呵，别装可怜了，普通人可参加不了贵族的宴会。我猜你也不是什么简单的人物，先安分地呆着吧。,,,,呵呵，别装可怜了，普通人可参加不了贵族的宴会。我猜你也不是什么简单的人物，先安分地呆着吧。
,717501,狂龙领主柏格,我怎么可能会输给你们这些乳臭未干的小孩……要不是那群该死的研究员……你们给我放开，我自己会走！,,,,我怎么可能会输给你们这些乳臭未干的小孩……要不是那群该死的研究员……你们给我放开，我自己会走！
,717502,,输了就给我闭嘴，少叽叽歪歪的。等等，你手臂上这些密密麻麻的针孔是怎么回事？！我看得都要得密集恐惧症了！,,,,输了就给我闭嘴，少叽叽歪歪的。等等，你手臂上这些密密麻麻的针孔是怎么回事？！我看得都要得密集恐惧症了！
,717503,狂龙领主柏格,怎么回事？还不是你们搞的！每天都给我们注射奇怪的药水，有的让人昏昏欲睡，有的让人痛不欲生，有的让人仿佛被火烧一般。,,,,怎么回事？还不是你们搞的！每天都给我们注射奇怪的药水，有的让人昏昏欲睡，有的让人痛不欲生，有的让人仿佛被火烧一般。
,717504,狂龙领主柏格,甚至有的人被注射后，再也没有醒过来！<br>你们根本不把我们当人看，你们不得好死！！！,,,,甚至有的人被注射后，再也没有醒过来！<br>你们根本不把我们当人看，你们不得好死！！！
,717505,,（柏格狰狞的面孔和愤怒的吼声，震得西蒙等人久久不能回神。）,,,,（柏格狰狞的面孔和愤怒的吼声，震得西蒙等人久久不能回神。）
,717506,,事到如今，或许谣言要成真了。,,,,事到如今，或许谣言要成真了。
,717601,鬼纹领主杰西法,你们……你们这群帮凶！啊——我的腿好疼！！！,,,,你们……你们这群帮凶！啊——我的腿好疼！！！
,717602,,你怎么了？怎么突然之间……<br>大小姐，你有没有什么办法帮他？,,,,你怎么了？怎么突然之间……<br>大小姐，你有没有什么办法帮他？
,717603,,这……我试试。,,,,这……我试试。
,717604,,拯救汝辈的爱与魔法之精灵，听从吾之指引——<br>境界彼方的黑暗，消融于闪耀之辉。光之辉芒，起！,,,,拯救汝辈的爱与魔法之精灵，听从吾之指引——<br>境界彼方的黑暗，消融于闪耀之辉。光之辉芒，起！
,717605,鬼纹领主杰西法,好疼——我的腿要烧起来了，受不了了！了结我吧！<br>露西，我回不去了……就算回去，你也不认得我了吧……,,,,好疼——我的腿要烧起来了，受不了了！了结我吧！<br>露西，我回不去了……就算回去，你也不认得我了吧……
,717606,,怎么会一点效果都没有？！<br>（温丽讶异之余，细心检查了杰西法的身体。）,,,,怎么会一点效果都没有？！<br>（温丽讶异之余，细心检查了杰西法的身体。）
,717607,,这……他，他的腿部被强制注入了大量黑暗魔力，恐怕……,,,,这……他，他的腿部被强制注入了大量黑暗魔力，恐怕……
,717608,,【哔——】，这里真的是实验室？！！他们不是胡说的？！<br>这也太【哔——】！,,,,【哔——】，这里真的是实验室？！！他们不是胡说的？！<br>这也太【哔——】！
,717609,鬼纹领主杰西法,咳……我们只是想活下去……而已……<br>露西法，再见了……（杰西法缓缓合上双眼。）,,,,咳……我们只是想活下去……而已……<br>露西法，再见了……（杰西法缓缓合上双眼。）
,717610,,……温丽，大姐头，除了找到史莱克，我们还要弄清这座监狱到底发生了什么！,,,,……温丽，大姐头，除了找到史莱克，我们还要弄清这座监狱到底发生了什么！
,717611,,嗯，继续向下吧。,,,,嗯，继续向下吧。
,717701,,这座监狱到底发生了什么？为什么这层的人都似人非人，似魔<br>非魔……,,,,这座监狱到底发生了什么？为什么这层的人都似人非人，似魔<br>非魔……
,717702,铸魂领主米尔顿,因为我本来就是人类，我甘愿为那位大人奉献一切！实验算什么？哪怕是命，我也愿意给他。他才是要成为王的人！,,,,因为我本来就是人类，我甘愿为那位大人奉献一切！实验算什么？哪怕是命，我也愿意给他。他才是要成为王的人！
