,id,name,desc
备注,id,名字,描述
商城——罗兰钻本铺,1,贩售商城,可在“罗兰钻本铺”中购买
商城——英雄商铺,2,贩售商城,可在“英雄商铺”中购买
商城——本命商铺,3,贩售商城,可在“本命商铺”中购买
商城——竞技场商铺,4,贩售商城,可在“竞技场商铺”中购买
商城——公会商铺,5,贩售商城,可在“公会商铺”中购买
商城——梦境小铺,6,贩售商城,可在“梦境小铺”中购买
商城——骑士商铺,7,贩售商城,可在“骑士商铺”中购买
自律联盟——委托,8,自律联盟,可通过完成“委托”任务获得
自律联盟——跑腿,9,自律联盟,可通过完成“日常”任务获得
自律联盟——巡查,10,自律联盟,可通过完成“巡查”任务获得
自律联盟——悬赏,11,自律联盟,可通过完成“悬赏”任务获得
好友宝箱,12,好友宝箱,可通过开启“好友宝箱”获得
讨伐领主,13,讨伐领主,可通过“讨伐领主”获得
多人副本——卡诺萨城,14,多人副本,可在“卡诺萨城”副本中获得
多人副本——树心城,15,多人副本,可在“树心城”副本中获得
单人副本——经验副本,16,单人副本,可在“经验副本”中获得
单人副本——金钱副本,17,单人副本,可在“金钱副本”中获得
单人副本——材料副本,18,单人副本,可在“材料副本”中获得
英雄占卜,19,速递,可通过“英雄速递”获得
本命占卜,20,速递,可通过“本命速递”获得
公会——帝国悬赏,21,帝国悬赏,可通过“帝国悬赏”获得
公会——公会募捐,22,公会捐献,可通过“公会募捐”获得
竞技场,23,竞技场,可通过“竞技场”获得
骑士考核,24,骑士考核,可通过“骑士考核”获得
雷鸣大陆,25,雷鸣大陆,可在“雷鸣大陆”获得
古加尼尔,26,古加尼尔,可在“古加尼尔”获得
天空之城,27,失落群岛,可在“失落群岛”获得
充值,28,充值活动,可通过“充值活动”获得
主线任务,29,主线任务,可通过“主线任务”获得
支线任务,30,支线任务,可通过“支线任务”获得
温丽的梦境,31,温丽的梦境,可通过“温丽的梦境”获得
羁绊,32,羁绊,可通过提升“羁绊”获得
各玩法均有产出,33,各玩法均有产出,各玩法均有产出
