,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1031303,,我记得战胜战魂能暂时阻断魔力连接，在魔法议会的人到达前，只能试试看这个方法了。,,,
,1031403,,趁着……还有意识……赶紧……封印……我绝不能……伤害别人！<br>不……我…………魔法…………控制……,,,
,1031404,魔法议会法师,抱歉，我来迟了，接下来就交给我们魔法议会处理，辛苦了！,,,
,1031503,《雷鸣大陆志》,『……卡诺萨帝国攻下哀嚎神殿后，夺回了雷鸣大陆的控制权。<br>　那天，自由联军举行了盛大的庆典。』,,,
,1031504,《雷鸣大陆志》,『……战场的胜利，让那些被控制的战魂获得了短暂的解脱。在征得<br>　它们的同意后，帝国最终决定，将它们封印于哀嚎神殿内部。』,,,
,1031505,,根据记录来看，那些战魂是自愿被封印在哀嚎神殿里的。我听哥哥说过，它们原本也是士兵，自然不愿意袭击自己本应守护的人。,,,
,1031506,,弗林先生撰写编年史，就是为了不让这段历史消失。,,,
,1032004,,我不知道真正的委托人是谁，真的！委托我的那个家伙也是接到其他人的委托……能说的我都说了，那个惩罚能不能……,,,
,1032005,,这句话等到了牢里再说吧。<br>看来，得转告泰雷，让帝国加强哀嚎神殿附近的守备了。,,,
,1032203,,根据研究，魔族是通过刻在甲片内侧的魔法阵来控制战魂的。魔法议会一直在研究战魂身上的魔法，试图找出解除的方法。,,,
,1032204,,也有一部分法师认为，可以利用战魂魔法提升魔偶的操控性。但这次为什么需要甲片我就不清楚了。或许我今晚回去后可以问问爷爷。,,,
,1032303,,那位和黑骑士迪亚一样，曾是罗兰大帝手下的狮心魔骑贝恩？我们现在就出发！,,,
