,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,101,,这是哪里……王宫……哥哥……<br>啊……头好痛……,,,
,102,？？？,你还在王宫，你感觉怎么样？他实在下手太狠了<br>……不过他连那种事都做了，这又算什么……,,,
,103,,那种事？我记得之前国王正要封赏，然后哥哥<br>他……谋害了国王……不！一定不是真的！,,,
,104,,西蒙，即使很难接受，可这一切都是真的！<br>兰奇他当众行刺国王，还抢走了神器……,,,
,105,,泰雷，这是我在做梦吧……哥哥他怎么可能……不……<br>不……我不相信！一定是哪里搞错了！一定是哪里搞错了！,,,
,106,,我也希望这是一场梦，可现实就是这么无情。<br>兰奇他背叛了帝国！,,,
,107,,不……不会的！<br>我相信他，他是清白的！！！,,,
,108,,我要弄清事情的真相，这其中一定是有什么原因！,,,
,109,,真相……对，我要弄清楚事情的真相！<br>现在我就去<color=#bd4104>神器失窃的地方</color>看看，或许会有线索！,,,
,110,,真相……对，我要弄清楚事情的真相！<br>现在我就去神器失窃的地方看看，或许会有线索！,,,
,201,,这是我在做梦吧……哥哥他怎么可能……<br>不……不……我不相信！一定是哪里搞错了！,,,
,202,,我也希望这是一场梦，可现实就是这么无情。<br>兰奇他背叛了帝国！,,,
,203,,迷茫的少年剑士啊，如果真相并非你所认为的<br>那样，假若它意外的残酷，你也愿意接受吗？,,,
,204,,圣祭司诗寇蒂大人……<br>我没能尽到我的职责，让您失望了……,,,
,205,,圣祭司大人！你也是相信我哥哥的，对不对！<br>我哥哥不会做出这种事的！一定有他的原因！,,,
,206,,相比起一味追究为什么做出这些事，<br>或许换个角度，能得到不同的想法。,,,
,207,,无论如何我都要弄清楚事情的真相！<br>我要去<color=#bd4104>神器失窃的地方</color>看看！或许会有线索！,,,
,208,,（西蒙起身离开了房间。）,,,
,209,,圣祭司大人，您的安排或许有您的深意所在。<br>只是，为什么会是他……,,,
,210,,这一切早已注定，命运的齿轮已经开始转动。<br>我们能做的，只有这么多……,,,
,211,,我的战士，这一切早已注定，命运的齿轮已经开始转动。<br>我们能做的，只有这么多……,,,
,301,,战斗教学,,,
,1001,,既然他不打算手下留情，那我也全力以赴以示尊敬吧。,,,
,1101,,好，造成伤害了。就让我一鼓作气将这铁皮罐头打倒吧。,,,
,1201,,这家伙，真是有点棘手……<br>看来他的攻击已经告一段落，到我出手了！,,,
,2001,,哈，来得正好，我正想熟悉熟悉前阵子新学的两个剑招。<br>就麻烦你充当一下木桩，供我练习招式衔接咯！,,,
,2101,,哦，刚好奥义值已经累积得足够了，那么<br>接招吧，量化·正义裁决！,,,
,2201,,什么，我的攻击刚告一段落，他就抓准时机攻了过来？<br>这家伙……真是顽强！,,,
,2202,,生命条下方有两个<color=#bd4104>匕首</color>，代表他这轮攻击能施放两个技能。<br>得小心应对，不能大意了。,,,
,3001,,奥兹家族的家训说过，要认真对待每一场挑战。<br>虽说你是女生，但我也不会手下留情的。,,,
,3002,,……话是这么说，但这女生还挺强的，我可不想输在她的<br>手上。看来，得好好规划一下战斗的策略了……,,,
,3101,,首先，用<color=#bd4104>飞天·重斩（技能2）</color>给她施加<color=#bd4104>碎甲</color>状态，<br>降低她的防御力！,,,
