,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1100301,,这次的巡查地点是<color=#bd4104>迷雾森林</color>。<br>无论如何，请认真对待帝国赋予你的职责。,,,
,1100402,,谁，谁说宝藏了？我的东西被人抢走了，刚刚就在那边！你作为巡查员，可得帮我找回来啊！,,,
,1100501,,走了这么久一个人影也没有看到，哪里有什么坏人啊？,,,
,1100502,,前面就是那个哥布林说的地方了，你这急性子，有点耐心好不好！,,,
,1100601,？？？,滚远点！刚才有个哥布林已经被我打跑了，你们还要过来的话和它的下场一样！,,,
,1100602,,真是个凶巴巴的大块头，这难道就是那个抢走哥布林东西的人？,,,
,1100901,,你是新来的冒险者吧，这里出了什么事？,,,
,1101301,,做得不错！真正的勇者就是需要不断地历练。年轻人，快领取你的任务奖励吧！,,,
,1101401,,每一个巡查员都代表着罗兰帝国，面对古加尼尔这么多部落，巡查工作可不能懈怠！,,,
,1101601,,每一个巡查员都代表着罗兰帝国，面对古加尼尔这么多部落，巡查工作可不能懈怠！,,,
,1101801,,你们竟然破坏了我控制迷雾森林的计划！我迟早会收拾你们的！,,,
,1101802,,控制迷雾森林？你也太不自量力了吧！下次巡查再让我碰见你的话，可不会像今天这么简单了！,,,
,1146201,,喂！你们好啊！你们是不是帮我找到了？如果找到了，就还给我吧！,,,
,1146203,,既然你都发现了，那我……那我就先走为妙……,追缉哥布林冒险者。,先将宝藏归还。,
,1146401,,这么快就不见了……算了，这次就先放过他，还是赶紧回去看看<br>宝藏吧。,,,
,1146501,,里面的东西呢？！！！难道是被那个狡猾的哥布林给掉包了？,,,
,1146601,,没关系！真正的勇者就是需要不断地历练。年轻人，快领取你的任务奖励吧！,,,
,1151401,,得来全不费功夫！这个宝贝让我给找到了，发财了发财了……,,,
,1151501,,滚开，别想打这个宝藏的主意！否则我要你有来无回！,,,
,1151601,,太可怕了，这么强大的宝藏守卫！看来我得想个办法才行。,,,
,1151702,,刚才宝藏守卫说这是精灵族的迷雾宝藏，我想我们应该把宝藏送到树心城去。,,,
,1161001,,精灵女王任命我守卫精灵族的迷雾宝藏，你们这些贪心的人类竟然抢走了它！精灵女王不会放过你们的！,,,
,1161002,,这竟然是宝藏守卫驻守的迷雾宝藏！看来，哥布林是不是想利用我们打败守卫获得宝藏。,,,
