,id,Name,Intention,talks,detailDes
备注,任务id,任务标题,任务目标,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,10002,皇室遗珠,进入<color=#00FF0C>首相府邸</color>,,
,10003,湖畔之行,前往<color=#00FF0C>湖畔镇</color>,,
,10004,湖畔危机,前去打听消息,,
,10005,我认识你,前去打听消息,,
,10006,解救米修,快点追上<color=#00FF0C>鹿角兽</color>,,
,10007,生命的出路,前往<color=#00FF0C>教堂</color>,,
,10008,冤家路窄,彻底排除<color=#00FF0C>帝国之剑</color>干扰,,
,10009,阿噗的秘密,找<color=#00FF0C>米修</color>询问解决之道,,
,10010,前往湖畔镇南方,寻找<color=#00FF0C>鹿舌草</color>,,
,10011,回到湖畔镇,去<color=#00FF0C>教堂</color>找桑尼修女,,
,10012,休息一下,去<color=#00FF0C>旅馆</color>暂歇,,
,10013,鹿角兽巢穴,<color=#00FF0C>鹿角兽</color>的阴谋,,
,10014,回到旅馆,特殊的能力,,
,10015,吃货之路,前往<color=#00FF0C>海滩</color>,,
,10016,罗兰之行,前往<color=#00FF0C>罗兰镇</color>,,
,10150,水晶球里的人,完成第一次招募,,
,10190,你听说过圣界吗?,选择值得信任的人,,
,10212,意外的收获,获得萨林的指导,,
,10221,魔族之心,战胜萨米尔,,
,10222,神谕会议,目标，古加尼尔,,
,10223,下一个旅程,命运的羁绊,,
,10224,下一个旅程,取名的艺术,,
,10225,有执念的祭司,《罗兰颂歌》在这里,,
,10226,赫丽的踪迹,终于找到你,,
,10227,传说中的罗兰镇,前往罗兰镇,,
,10228,传说中的罗兰镇,走，去找小姐姐,,
,10229,等待是一门学问,达到29级,,
,10230,抵达三月边陲,解读邀请函,,
,10231,抵达三月边陲,狩猎换情报,,
,10232,童稚之城,打听玛瑙街32号,,
,10233,童稚之城,讨厌的玛瑙街32号,,
,10234,童稚之城,徒劳无功的打听,,
,10235,孩童小镇,讨论镇里的怪相,,
,10236,猎魔人的危机,出人意料的情报,,
,10237,猎魔人的危机,前往玛瑙街32号,,
,10238,猎魔人的危机,月牙湖半鱼人,,
,10239,猎魔人的危机,水闸，关闭,,
,10240,猎魔人的危机,排水口，开启,,
,10241,鹿角兽的灭族危机,哼！无耻的人类！,,
,10242,精灵公主的请求,战略性撤退,,
,10243,鹿角兽的灭族危机,鹿角兽暴怒之因,,
,10244,可怜又可恨的矮人,可气又可笑的真相,,
,10245,关于解药的推测,解药的线索,,
,10246,沙海虫巢,通关沙海虫巢,,
,10247,平复童稚事件,返回酒馆,,
,10248,平复童稚事件,虫卵，就是解药？,,
,10249,平复童稚事件,给解药的条件,,
,10250,泰坦之魂,解读邀请函,,
,10251,是骗局吗？,质问神秘少女,,
,10252,是骗局吗？,抵达神谕会议地点,,
,10253,风沙堡,通关风沙堡,,
,10254,精灵公主的请求,葛莱蒂丝的苦衷,,
,10255,精灵公主的请求,圣界齐聚,,
,10256,传说的魔族高地,寻找高地入口,,
,10257,传说的魔族高地,阅读羊皮纸,,
,10258,传说的魔族高地,获得泰雷的讯息,,
,10259,传说的魔族高地,获得泰雷的讯息,,
,10260,传说的魔族高地,消失吧，魔法阵,,
,10261,传说的魔族高地,击退怒蝎统领强森,,
,10262,围剿,讨伐草原领主,,
,10263,传说的魔族高地,开启高地入口,,
,10266,由莉的执念,提升实力,,
,10267,再见了，由莉,接受桑妮的提议,,
,10268,温丽的天才计划,押送贝拉,哼，不管你们想了什么卑鄙的计划，都不可能得逞的。,
