,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,1353502,,最近都忙着演练，好不容易抽出点时间出来旅游……听说湖畔镇依山傍水，与鲸脊岛的风景大有不同，其中三女神码头最为独特。,,,,最近都忙着演练，好不容易抽出点时间出来旅游……听说湖畔镇依山傍水，与鲸脊岛的风景大有不同，其中三女神码头最为独特。
,1353503,镇民骆克桑,青湖贝青湖贝，味美鲜甜的青湖贝！湖畔镇特产，绝不可错过的旅游伴手礼！,,,,青湖贝青湖贝，味美鲜甜的青湖贝！湖畔镇特产，绝不可错过的旅游伴手礼！
,1353504,,湖畔镇特产？好像还不错的样子。老板，给我来一些……,,,,湖畔镇特产？好像还不错的样子。老板，给我来一些……
,1353505,镇民骆克桑,好嘞！这可是刚捕捞的，绝对好……哇？！！这位游客，你你你……你是纳雅人吗？！！天哪，一直听说有纳雅人，但我从来都没见过！,,,,好嘞！这可是刚捕捞的，绝对好……哇？！！这位游客，你你你……你是纳雅人吗？！！天哪，一直听说有纳雅人，但我从来都没见过！
,1353506,,<align="center">同时，码头上越来越多的人，也注意到了米兰达……</align>,,,,<align="center">同时，码头上越来越多的人，也注意到了米兰达……</align>
,1353507,镇民米可,快看快看，那个长着翅膀的人，不会就是传说中的纳雅人吧？！！,,,,快看快看，那个长着翅膀的人，不会就是传说中的纳雅人吧？！！
,1353508,镇民莫翎,应该……是吧？！赫丽女王前段时间才刚宣布我们人类将与纳雅恢复交流。没想到，居然这么快就能见到纳雅人了？！,,,,应该……是吧？！赫丽女王前段时间才刚宣布我们人类将与纳雅恢复交流。没想到，居然这么快就能见到纳雅人了？！
,1353509,镇民玳尔,喂喂喂，你们发现没，她的翅膀有一半是机械的诶！！我知道纳雅科技厉害，不过，居然连翅膀也开始运用高科技了吗？！,,,,喂喂喂，你们发现没，她的翅膀有一半是机械的诶！！我知道纳雅科技厉害，不过，居然连翅膀也开始运用高科技了吗？！
,1353510,,<align="center">聚集的人群越来越多……</align>,,,,<align="center">聚集的人群越来越多……</align>
,1353511,,（尴尬……我这是被当成稀有物种围观了？）<br>大家的反应，未免也太夸张了吧？,,,,（尴尬……我这是被当成稀有物种围观了？）<br>大家的反应，未免也太夸张了吧？
,1353512,镇民骆克桑,不不不，你们纳雅人一直都只存在于传说里，突然见到真人，太惊讶了！,,,,不不不，你们纳雅人一直都只存在于传说里，突然见到真人，太惊讶了！
,1353513,镇民米可,是啊是啊，你居然也会说我们的语言，是专门学习的吗？!,,,,是啊是啊，你居然也会说我们的语言，是专门学习的吗？!
,1353514,镇民莫翎,诶！我听说你们那遍地都是机器人，不管做什么事情都有机器人代<br>劳，可方便了……,,,,诶！我听说你们那遍地都是机器人，不管做什么事情都有机器人代<br>劳，可方便了……
,1353515,镇民玳尔,对呀，你们那机器人都是由机器人孕育的吗？！我倒是听说……,,,,对呀，你们那机器人都是由机器人孕育的吗？！我倒是听说……
,1353516,镇民柯林,我很好奇，你那半侧机械翅膀是不是也是机器人变的？看起来好逼真啊！,,,,我很好奇，你那半侧机械翅膀是不是也是机器人变的？看起来好逼真啊！
,1353517,,呃……其实，人类与纳雅人虽在外形上有差距，但还是有共通点的。如今俩国恢复邦交，之前因传说产生的误解也会因了解随之化解。,,,,呃……其实，人类与纳雅人虽在外形上有差距，但还是有共通点的。如今俩国恢复邦交，之前因传说产生的误解也会因了解随之化解。
,1353518,,比如机器人是纳雅的科技产物，并不能孕育生产。至于翅膀，我们纳雅人都是羽毛翅膀，只是我的翅膀比较特别罢了。,,,,比如机器人是纳雅的科技产物，并不能孕育生产。至于翅膀，我们纳雅人都是羽毛翅膀，只是我的翅膀比较特别罢了。
,1353519,镇民骆克桑,好吧……对了，你是来这处理公事的？还是……,,,,好吧……对了，你是来这处理公事的？还是……
,1353520,,我只是来这旅游的。,,,,我只是来这旅游的。
,1353521,镇民骆克桑,是这样啊。那让我来做你的导游吧！没有人比我更了解湖畔镇了。我们这儿的三女神码头不仅风景优美还有特别的传说，附近的灯塔……,,,,是这样啊。那让我来做你的导游吧！没有人比我更了解湖畔镇了。我们这儿的三女神码头不仅风景优美还有特别的传说，附近的灯塔……
,1353522,镇民莫翎,我我我！我可以带你吃遍湖畔镇的特色美食……,,,,我我我！我可以带你吃遍湖畔镇的特色美食……
,1353523,镇民米可,我也可以！我可是湖畔镇的活地图，每条大街小巷里的知名老店，我都一清二楚……,,,,我也可以！我可是湖畔镇的活地图，每条大街小巷里的知名老店，我都一清二楚……
,1353524,,谢谢你们。那麻烦你们一起带着我在湖畔镇四处逛逛吧。,,,,谢谢你们。那麻烦你们一起带着我在湖畔镇四处逛逛吧。
,1353525,,在友好热情的湖畔镇镇民带领下，米兰达不仅完成了景点观光，还收到了许多镇民们赠送的手信。,,,,在友好热情的湖畔镇镇民带领下，米兰达不仅完成了景点观光，还收到了许多镇民们赠送的手信。
,1353527,,总司令，这里有一封从卡诺萨城寄来的信，寄信人署名……芙蕾雅家族优秀魔法师。,,,,总司令，这里有一封从卡诺萨城寄来的信，寄信人署名……芙蕾雅家族优秀魔法师。
,1353528,,这是温丽寄来的。,,,,这是温丽寄来的。
,1353529,温丽的来信,     米兰达姐姐：<br>     见信好！,,,,     米兰达姐姐：<br>     见信好！
,1353530,温丽的来信,我最近在报刊上看到了一个非常有趣的新闻。虽然打了码，并且全文充满着哥布林报道一贯的夸张风格，不过我知道那个肯定是你。,,,,我最近在报刊上看到了一个非常有趣的新闻。虽然打了码，并且全文充满着哥布林报道一贯的夸张风格，不过我知道那个肯定是你。
,1353531,温丽的来信,如果有机会，下次你来游玩的时候，可以来找我们玩呀！我带你去吃卡诺萨城最好的美食！,,,,如果有机会，下次你来游玩的时候，可以来找我们玩呀！我带你去吃卡诺萨城最好的美食！
,1353532,附录——报纸,                                     《哥布林每日刊》<br>                 98.99%的人都不知道，湖畔镇竟出现了……,,,,                                     《哥布林每日刊》<br>                 98.99%的人都不知道，湖畔镇竟出现了……
,1353533,附录——报纸,近日，湖畔镇惊现纳雅族人，引起无数镇民围观！据不愿意透露姓名的围观镇民某某先生称，他与纳雅族人进行了深度的文化交流。,,,,近日，湖畔镇惊现纳雅族人，引起无数镇民围观！据不愿意透露姓名的围观镇民某某先生称，他与纳雅族人进行了深度的文化交流。
,1353534,附录——报纸,该神秘女子气质高贵举止优雅（下略五百字赞美）。小编推测此次事件或为纳雅王族湖畔镇微服私访，在为今后投放机械鱼试点考察。,,,,该神秘女子气质高贵举止优雅（下略五百字赞美）。小编推测此次事件或为纳雅王族湖畔镇微服私访，在为今后投放机械鱼试点考察。
,1353535,附录——报纸,众所周知，纳雅以智能科技出名，但科技产物多为高空机械，此次水上机械是否为他们最新的科研目标？帝国是否也有所助力？,,,,众所周知，纳雅以智能科技出名，但科技产物多为高空机械，此次水上机械是否为他们最新的科研目标？帝国是否也有所助力？
,1353536,附录——报纸,（更多专业深度分析，请购买《哥布林新闻专题》报刊。）,,,,（更多专业深度分析，请购买《哥布林新闻专题》报刊。）
,1353537,附录——报纸,<align="center">#米兰达模糊不清的背影#</align>,,,,<align="center">#米兰达模糊不清的背影#</align>
,1353538,,人类的热情……真是令人惊叹。下次旅游，还是找个没人的自然风景区吧。,,,,人类的热情……真是令人惊叹。下次旅游，还是找个没人的自然风景区吧。
