,iconId,name,des,abstract
备注,头像id,名字,描述,途径
西蒙,101,热血中二·王道,心地善良的热血笨蛋。他的目标只有一个，就是成为第一剑士，以不辱家族之名。,完成“难以接受的真相”任务；<br>在“风迹速递-传说英雄”中获得英雄：西蒙。
木禅,104,沉默，是保护色,虽然是一名稳重的寡言战士，给伙伴可靠的安全感，但其实内心情感十分充沛。,在“风迹速递-传说英雄”中获得英雄：木禅。
葛莱蒂丝,105,我们不一样·公主,稳重的精灵公主，却有着好动的一面。她渴望着有天能带着“小疾风”遨游天下。,在“风迹速递-传说英雄”中获得英雄：葛莱蒂丝。
檐鬼,106,谎言，人心可怖,面具底下，是对这个世界的怨恨。隐藏在黑暗中的他，决心要除掉所有的说谎者。,在“风迹速递-传说英雄”中获得英雄：檐鬼。
夜崎隐,107,享受愉悦吧,不停寻找强敌，只为看到那些所谓的强者在他脚下挣扎死亡，从而感受那份愉悦。,在“风迹速递-传说英雄”中获得英雄：夜崎隐。
阿德琳,108,才不是闷骚啦,德鲁伊族的继承人，无人知道她冷漠的外表下，居然有着对帅哥疯狂的执着。,在“风迹速递-传说英雄”中获得英雄：阿德琳。
米兰达,112,王者归来,失去了引以为傲的翅膀后，便一直意志消沉。但重获刃翼后，米兰达回来了。,在“风迹速递-传说英雄”中获得英雄：米兰达。
温丽,201,傲娇女生最可爱,撒娇女人最好命，可这与温丽没有任何关系，因为在她的性格属性中，只有傲娇。,完成“战胜温丽”任务；<br>在“风迹速递-传说英雄”中获得英雄：温丽。
爱林娜,301,不要怂，正面刚,强大实力让自律联盟的众人所信服的著名赏金猎人。她认为拳头是最直接的语言。,在“风迹速递-传说英雄”中获得英雄：爱琳娜。
泰雷,102,帅而不自知,受很多女生迷恋的模范军人，但他本人并不自知，毕竟所有心思都在保卫帝国上。,在“风迹速递-传说英雄”中获得英雄：泰雷。
爱琪,302,带刺的玫瑰,世间万物，皆她所有。无穷无尽的欲望，让这位玫瑰团团长永远探索下个宝物。,在“风迹速递-传说英雄”中获得英雄：爱琪。
兰奇,103,天才总是孤独,作为万中无一的天才，天资聪颖的他有着两个顶级的天赋：剑术和南瓜饼的制作。,在“风迹速递-传说英雄”中获得英雄：兰奇。
乔伊,401,无趣的世界,善于操控人心的他，却没发现自己的情感早已凋零，只能透过阅读来寻找乐趣。,在“风迹速递-传说英雄”中获得英雄：乔伊。
赫丽,10028,别低头皇冠会掉,人在家中坐，皇位天上来。国王的身亡，让籍籍无名的她突然成为了唯一继承人。,完成“赫丽登基”任务。
由莉,10056,由莉不哭,面对饥饿的狼人，由莉彻底消失于世。但对死亡没有概念的她，却依然逗留人间。,完成“鱼骨笛之歌”任务。
米修,10101,阿噗阿噗阿噗噗,阿噗，噗阿噗，噗噗阿噗，阿噗阿噗，阿阿噗阿噗，噗噗噗阿噗，噗阿噗阿噗。,完成“安慰温丽”任务。
贪婪,10103,贪婪·无处不在,七大魔石之一，附身在贪婪之人身上。满足对方欲念的同时，也借此恢复力量。,完成“阻止诺尔”任务。
夜崎隐趣味,10158,哦~我的小果实~,寻找强大猎物是他的生活目标。他热衷于寻找“果实”，这为他带来无上的愉悦。,完成“别拦路，奇怪家伙”任务。
泰雷趣味,10166,泰雷·惹人怜爱,泰雷流下了悔恨的泪水，他又倒下了。屡战屡败，在强敌面前他根本不堪一击。,完成“泰雷的自诉”任务。
